Index,Fuel Type Code,Street Address,State,Latitude,Longitude
0,CNG,2951 Chestnut St,AL,32.367916,-86.267021
1,CNG,2424 Piedmont Rd NE,GA,33.821911,-84.367461
2,CNG,270 Marvin Miller Dr,GA,33.760256,-84.543822
3,CNG,2100 S Waldron Rd,AR,35.362213,-94.375338
4,CNG,1000 Cottage St Ext,MA,42.37470555,-71.02654861
5,CNG,16 Rover St,MA,42.393167,-71.064352
6,CNG,287 Maspeth Ave,NY,40.718037,-73.932309
7,CNG,8424 Ditmas Ave,NY,40.64554,-73.918344
8,CNG,281 11th Ave,NY,40.752903,-74.005831
9,CNG,700 E 16th St,NY,40.729175,-73.97331
10,CNG,1615 Bronxdale Ave,NY,40.8441883,-73.8615724
11,CNG,178 Theodore Fremd Ave,NY,40.979001,-73.693048
12,CNG,124-15 31st Ave,NY,40.769623,-73.843069
13,CNG,111 W Raymond St,IN,39.736169,-86.161743
14,CNG,1301 W 24th St,WY,41.135848,-104.830233
15,CNG,131 Brainard Rd,CT,41.736894,-72.660257
16,CNG,8968 S Choctaw Dr,LA,30.471166,-91.087975
17,CNG,2931 Rufina St,NM,35.65758,-105.993406
18,CNG,11401 W 89th St,KS,38.966292,-94.715917
19,CNG,555 S Cole Rd,ID,43.599179,-116.276042
20,CNG,12584 W Tyhee Rd,ID,42.949867,-112.468069
21,CNG,1527 Hollipark Dr,ID,43.509729,-112.007445
22,CNG,2921 Caldwell Blvd,ID,43.615117,-116.618458
23,CNG,4701 Northrup St,ID,43.559171,-116.241498
24,CNG,200 E 1st Ave,KS,39.058754,-95.667854
25,CNG,1650 Islip Ave,NY,40.785664,-73.219818
26,CNG,175 E Old Country Rd,NY,40.766799,-73.509603
27,CNG,128 N Briery Rd,TX,32.817883,-96.988716
28,CNG,801 S Riverfront Blvd,TX,32.76662,-96.807086
29,CNG,3526 Security St,TX,32.89683,-96.68401
30,CNG,8370 S 4300 W,UT,40.599413,-111.993532
31,CNG,1150 W 200 S,UT,40.764976,-111.922291
32,CNG,1050 W 200 N,UT,41.734633,-111.861488
33,CNG,850 S Carbon Ave,UT,39.586805,-110.813433
34,CNG,1375 N Main St,UT,38.786621,-112.084147
35,CNG,2828 Dauphin St,AL,30.689832,-88.108861
36,CNG,501 W 61st St,MN,44.891455,-93.285766
37,CNG,2615 S 64th Ave,NE,41.235148,-96.011954
38,CNG,3103 N Industrial Way,CO,39.407087,-104.872002
39,CNG,27700 E 78th Ave,CO,39.83765605,-104.6805
40,CNG,1125 Broadway,NY,42.667569,-73.739345
41,CNG,12120 NE Inverness Dr,OR,45.562809,-122.537882
42,CNG,9222 SE Knapp St,OR,45.46966,-122.567129
43,CNG,3123 Broadway St NE,OR,44.971345,-123.029369
44,CNG,1100 Airport Rd SE,OR,44.9224565,-123.003936
45,CNG,621 N Pennsylvania Ave,OK,35.473122,-97.551807
46,CNG,901 S Portland Ave,OK,35.455709,-97.585311
47,CNG,4901 N Santa Fe Ave,OK,35.520864,-97.51313
48,CNG,412 SE 59th St,OK,35.406042,-97.503367
49,CNG,1995 Veterans Blvd,OK,34.185103,-97.107574
50,CNG,421 S Garland Rd,OK,36.393246,-97.942055
51,CNG,410 W 55th St,OK,36.084708,-96.13021
52,CNG,Mile 178 Turner Turnpike,OK,35.751753,-96.689896
53,CNG,5848 E 15th St,OK,36.13876,-95.911286
54,CNG,1815 N 77th E Ave,OK,36.180333,-95.890286
55,CNG,1012 W 36th Pl,OK,36.110572,-96.003683
56,CNG,2616 Border Ave,OK,35.740689,-95.396141
57,CNG,2205 N Ash St,OK,36.730008,-97.093765
58,CNG,1444 N Kickapoo St,OK,35.346744,-96.930096
59,CNG,680 Ridge Pike,PA,40.080572,-75.252389
60,CNG,788 Taylorville Rd,CA,39.20062,-121.062126
61,CNG,4500 Norris Canyon Rd,CA,37.773172,-121.968239
62,CNG,615 7th Ave,CA,36.969267,-121.999295
63,CNG,4101 Wible Rd,CA,35.317617,-119.039048
64,CNG,3754 E California Ave,CA,36.72136,-119.761165
65,CNG,390 E Alisal St,CA,36.67217,-121.641106
66,CNG,275 Industrial Way,CA,37.51689165,-122.2624653
67,CNG,536 Treat Ave,CA,37.761127,-122.41383
68,CNG,1030 Detroit Ave,CA,37.956072,-122.028697
69,CNG,24300 Clawiter Rd,CA,37.642339,-122.117821
70,CNG,1100 S 27th St,CA,37.916909,-122.344036
71,CNG,1220 Andersen Dr,CA,37.951236,-122.499682
72,CNG,10900 N Blaney Ave,CA,37.335646,-122.021398
73,CNG,308 Stockton Ave,CA,37.335663,-121.907088
74,CNG,4040 West Ln,CA,37.990624,-121.283787
75,CNG,3965 Occidental Rd,CA,38.428592,-122.766929
76,CNG,333 Sacramento St,CA,38.888863,-121.074465
77,CNG,1415 2nd St,CA,38.545155,-121.731878
78,CNG,1400 29th St,CA,38.568857,-121.470192
79,CNG,5555 Florin-Perkins Rd,CA,38.526817,-121.3904188
80,CNG,1471 Ferry St,CA,40.443169,-122.306738
81,CNG,5162 Munson Hwy,FL,30.633284,-87.041286
82,CNG,600 W Robinson St,FL,28.545239,-81.38651
83,CNG,15779 W Dixie Hwy,FL,25.920799,-80.15665
84,CNG,100 Woodruff Industrial Ln,SC,34.829494,-82.310005
85,CNG,2712 Discovery Dr,NC,35.860856,-78.594331
86,CNG,84 E J St,CA,32.631042,-117.057953
87,CNG,3650 Main St,CA,32.59578,-117.054443
88,CNG,602 Cannon Rd,CA,33.13411446,-117.3323437
89,CNG,305 Via Del Norte,CA,33.212501,-117.352552
90,CNG,13626 Twin Peaks Rd,CA,32.978339,-117.034924
91,CNG,6875 Consolidated Way,CA,32.876295,-117.166362
92,CNG,5488 Overland Ave,CA,32.833537,-117.132811
93,CNG,4630 Ruffner St,CA,32.824786,-117.157551
94,CNG,17700 Indian Ave,CA,33.862772,-117.234706
95,CNG,742 N Mission Rd,CA,34.056631,-118.220154
96,CNG,1701 Stewart St,CA,34.030601,-118.465876
97,CNG,2800 Workman Mill Rd,CA,34.025657,-118.031019
98,CNG,8101 S Rosemead Blvd,CA,33.968221,-118.109093
99,CNG,755 W Capitol Dr,CA,33.758315,-118.293979
100,CNG,11900 Branford St,CA,34.256511,-118.391859
101,CNG,16645 Saticoy St,CA,34.209219,-118.496403
102,CNG,534 N Barranca Ave,CA,34.091688,-117.87986
103,CNG,7711 Canoga Ave,CA,34.23701978,-118.5977594
104,CNG,32-505 Harry Oliver Trail,CA,33.812361,-116.395444
105,CNG,3077 Cottage St,CA,33.971694,-117.371722
106,CNG,12698 Industry St,CA,33.778966,-118.007908
107,CNG,6427 Oak Canyon,CA,33.676026,-117.764558
108,CNG,1650 Patton Ct,CA,34.191405,-119.161215
109,CNG,75 Prado Rd,CA,35.254197,-120.670939
111,CNG,3045 S 22nd Ave,AZ,33.41957,-112.105877
112,CNG,9191 E San Salvador Dr,AZ,33.569437,-111.882019
113,CNG,3401 E Gas Rd,AZ,32.167149,-110.919046
114,CNG,4004 S Park Ave,AZ,32.175788,-110.9574
115,CNG,3333 Losee Rd,NV,36.220567,-115.125553
116,CNG,1184 Lance Rd,VA,36.864044,-76.217318
117,CNG,746 Diligence Dr,VA,37.083023,-76.463112
118,CNG,16624 Crabbs Branch Way,MD,39.132781,-77.172278
119,CNG,5702 State Route 270,WA,46.72815,-117.105
120,CNG,1411 E Mission Ave,WA,47.671791,-117.389731
121,CNG,1330 Fair St,WA,46.421726,-117.060257
122,CNG,1130 Tupelo St,TN,35.166531,-89.972823
123,CNG,450 W Griffith St,CA,33.859921,-118.281006
124,CNG,10400 Aviation Blvd,CA,33.941383,-118.377866
125,CNG,700 Commercial Ave,NY,40.72954,-73.6075
126,CNG,17000 Crabbs Branch Way,MD,39.12915713,-77.16913058
127,CNG,2018 S Wood Dr,OK,35.602719,-95.962047
128,CNG,12641 N 39th Ave,AZ,33.6013089,-112.1419547
129,CNG,1600 Perry Blvd NW,GA,33.789934,-84.441488
130,CNG,11239 Midway,CA,39.710548,-121.812671
131,CNG,158 Peabody Rd,CA,38.3509,-121.977342
132,CNG,800 Garrod Dr,CA,38.53261231,-121.7597962
133,CNG,83-255 Highway 111,CA,33.714919,-116.211564
134,CNG,9240 E Firestone Blvd,CA,33.932994,-118.119479
135,CNG,1919 S State College Blvd,CA,33.801121,-117.889388
136,CNG,1700 W 5th St,CA,34.108647,-117.325532
137,CNG,1471 E Elm St,CA,33.899899,-118.207088
138,CNG,3401 Watkins Dr,CA,33.979964,-117.321031
139,CNG,1440 S Cucamonga St,CA,34.047068,-117.634077
140,CNG,3400 E Tahquitz Canyon Way,CA,33.823151,-116.508135
141,CNG,900 S New Ave,CA,34.082264,-118.108702
142,CNG,2270 Trumble Rd,CA,33.760846,-117.185047
143,CNG,Del Valle Blvd,CA,34.2019,-116.045
144,E85,302 Superior St,NE,40.856204,-96.717819
145,E85,M St & Centennial Mall S,NE,40.811394,-96.699689
146,E85,3305 Old Potash Hwy,NE,40.91701,-98.379743
147,E85,220 10th St NW,SD,44.904113,-97.130798
148,E85,45316 Highway 34,SD,44.00769,-97.146785
149,E85,5001 S 14th St,NE,40.762848,-96.701622
150,E85,4305 W Mount Pleasant St,IA,40.825493,-91.208355
151,E85,3714 W Truman Blvd,MO,38.588189,-92.255887
152,E85,4200 N I-90 Service Rd,SD,44.103769,-103.14969
153,ELEC,11797 Truesdale St,CA,34.24831915,-118.3879714
154,ELEC,1394 S Sepulveda Blvd,CA,34.052542,-118.448504
155,ELEC,1201 S Figueroa St,CA,34.040539,-118.271387
156,ELEC,111 N Hope St,CA,34.059133,-118.248589
157,ELEC,6801 E 2nd St,CA,33.759802,-118.096665
158,ELEC,161 N Island Ave,CA,33.770508,-118.265628
159,ELEC,13201 Sepulveda Blvd,CA,34.30309,-118.480505
160,ELEC,1630 N Main St,CA,34.066801,-118.227605
161,ELEC,2311 S Fairfax Ave,CA,34.036777,-118.368841
162,ELEC,9530 Telstar Ave,CA,34.06872,-118.064
163,ELEC,1212 Palmetto St,CA,34.039736,-118.236065
164,LNG,2225 W Lower Buckeye Rd,AZ,33.42027,-112.106234
165,LNG,7350 World Way W,CA,33.941974,-118.420055
166,E85,1271 N River Dr,MN,44.18791,-94.012676
167,ELEC,10666 N Torrey Pines Rd,CA,32.89947,-117.243
168,ELEC,15421 Roscoe Blvd,CA,34.221665,-118.468371
169,ELEC,1299 Galleria at Tyler,CA,33.909914,-117.459053
170,ELEC,150 E Holly St,CA,34.14762,-118.147111
171,ELEC,45 De Lacey Ave,CA,34.145138,-118.152655
172,ELEC,33 E Green St,CA,34.145119,-118.150133
173,ELEC,606 Fair Oaks Ave,CA,34.118433,-118.149597
174,CNG,4020 W Glenrosa Ave,AZ,33.49857,-112.145787
175,CNG,11827 S 11th Ave,CA,36.301205,-119.654857
176,CNG,1735 S Turner Ave,CA,34.042311,-117.584572
177,CNG,3989 S K St,CA,36.169487,-119.338155
178,CNG,27651 E 81st Ave,CO,39.843538,-104.7096952
179,CNG,20605 NW Cornell Rd,OR,45.538064,-122.887453
180,E85,4120 Highway 52 N,MN,44.066369,-92.503307
181,CNG,2421 S 1st Pl,OK,36.023112,-95.786303
182,E85,1221 Washington Ave S,MN,44.974073,-93.251026
183,CNG,157 N Main St,CT,41.527246,-72.064419
184,ELEC,200 S Pine Ave,CA,33.7637,-118.192
185,ELEC,1 World Way,CA,33.94325,-118.403342
186,ELEC,9301 Tampa Ave,CA,34.241116,-118.556708
187,ELEC,700 N Haven Ave,CA,34.07122,-117.575
188,ELEC,600 E Esplanade Dr,CA,34.228315,-119.170865
189,ELEC,400 E Tahquitz Canyon Way,CA,33.824004,-116.543589
190,ELEC,4340 Rosewood Dr,CA,37.700187,-121.876172
191,ELEC,5425 Wilson St,CA,34.0189,-117.38
192,ELEC,Lindbergh Dr,CA,38.69005,-121.58889
193,ELEC,3223 Donald Douglas Loop,CA,34.017081,-118.44704
194,ELEC,200 Santa Monica Pier,CA,34.010021,-118.49583
195,ELEC,14006 Riverside Dr,CA,34.156839,-118.434454
196,ELEC,333 Universal Terrace Pkwy,CA,34.138717,-118.35904
197,ELEC,7724 Van Nuys Blvd,CA,34.211366,-118.448346
198,ELEC,7075 Firestone Blvd,CA,33.94756,-118.153806
199,ELEC,555 N Point St,CA,37.80619,-122.4152
200,ELEC,1689 Arden Way,CA,38.599693,-121.427045
201,CNG,2005 S Cockrell Hill Rd,TX,32.723948,-96.893853
202,CNG,605 N Berry Rd,OK,35.225601,-97.458827
203,CNG,1701 W Airline Rd,OK,34.707522,-97.242035
204,CNG,1028 N Preston,OK,35.7140876,-96.7681766
205,CNG,410 S Hawthorne St,OK,35.993424,-96.127984
206,CNG,523 W Evergreen St,OK,33.992864,-96.381442
207,CNG,315 E Montgomery Ave,PA,40.008558,-75.280726
208,CNG,2225 W Lower Buckeye Rd,AZ,33.42027,-112.106234
209,CNG,14201 McArt Rd,CA,34.508713,-117.332343
210,CNG,11448 F Ave,CA,38.935741,-121.103591
211,CNG,1830 Golden State Ave,CA,35.391836,-119.025602
212,CNG,2467 Waterbird Way,CA,38.001646,-122.072536
213,CNG,2005 Hilltop Cir,CA,38.729924,-121.316844
214,CNG,8421 Gerber Rd,CA,38.481677,-121.39277
