,Fuel Type Code,Street Address,State,Latitude,Longitude
756,LPG,306 E University Ave,IL,40.116631,-88.23472
1106,LPG,2201 E University Ave,IL,40.114285,-88.181229
2227,E85,2602 S Philo Rd,IL,40.0843651,-88.18982745
2273,ELEC,123 W Hill St,IL,40.119161,-88.244185
2513,LPG,1509 E University Ave,IL,40.115073,-88.188064
2694,E85,101 S Mattis Ave,IL,40.116096,-88.277322
2960,E85,4202 W Springfield Ave,IL,40.113793,-88.3158
3141,E85,4910 Market St,IL,40.177364,-88.240756
4180,E85,2201 N Prospect Ave,IL,40.14322,-88.258888
7598,ELEC,615 W Marketview Dr,IL,40.136567,-88.2538
14930,ELEC,2401 North Prospect Avenue,IL,40.146204,-88.259828
17314,ELEC,1900 S 1st St,IL,40.093533,-88.237677
17315,ELEC,2013 S Neil St,IL,40.092448,-88.247278
17316,ELEC,217 N Neil St,IL,40.11799,-88.243955
17317,ELEC,509  E Healey St,IL,40.111164,-88.230758
20205,ELEC,3310 Fields S Dr,IL,40.072484,-88.308255
26689,ELEC,1401 W Green St,IL,40.109651,-88.226594
26690,ELEC,1083 W Pennsylvania Ave,IL,40.101017,-88.222374
26691,ELEC,2021 S 1st St,IL,40.088819,-88.239863
26692,ELEC,3308 Mission Dr,IL,40.072306,-88.311422
26694,ELEC,2400 Bradley Ave,IL,40.133406,-88.293768
32293,ELEC,3308 Mission Dr,IL,40.072039,-88.310966
51761,ELEC,211 W. Springfield Avenue,IL,40.112202,-88.246056
51762,ELEC,401 W Curtis Rd,IL,40.068758,-88.25559
52789,ELEC,401 W Marketview Dr,IL,40.136887,-88.24885
57453,ELEC,2511 W Springfield Ave,IL,40.112825,-88.288773
62147,ELEC,2100 E University Ave,IL,40.115628,-88.182804
65039,ELEC,1201 US-45,IL,40.11586,-88.224891
65040,ELEC,601 S Lincoln Ave,IL,40.107668,-88.219884
65041,ELEC,77-91 Co Rd 1500 N 1st street,IL,40.097783,-88.239972
65190,ELEC,60 Hazelwood Dr,IL,40.091126,-88.240192
